,VEIC,DTHR,COD_LINHA,coords,nearest,idx,distances
696499,BL300,2023-05-02 21:46:01-03:00,022,"(-25.442316, -49.30546)","[-25.44214544132699, -49.30555866710495]",0.7542799597180262,21.342315287052013
696500,BL300,2023-05-02 21:45:36-03:00,022,"(-25.442595, -49.30533)","[-25.442666387653333, -49.30528608834316]",0.7532729103726082,9.058135275041698
696501,BL300,2023-05-02 21:45:26-03:00,022,"(-25.44267, -49.305255)","[-25.442666387653333, -49.30528608834316]",0.7532729103726082,3.152534938241039
696502,BL300,2023-05-02 21:45:21-03:00,022,"(-25.442966, -49.305083)","[-25.442966860139354, -49.3051577949318]",0.7522658610271903,7.523862692573006
696503,BL300,2023-05-02 21:45:01-03:00,022,"(-25.445036, -49.304685)","[-25.445130851484105, -49.30471497485154]",0.743202416918429,10.931597654213004
696504,BL300,2023-05-02 21:44:56-03:00,022,"(-25.445573, -49.304665)","[-25.445588354335612, -49.30469756196265]",0.7411883182275931,3.6905308095692577
696505,BL300,2023-05-02 21:44:46-03:00,022,"(-25.44672, -49.30467)","[-25.446702081372525, -49.304693731287216]",0.7381671701913394,3.1044782219635882
696506,BL300,2023-05-02 21:44:41-03:00,022,"(-25.447295, -49.304653)","[-25.447191309676626, -49.30468146871072]",0.7371601208459214,11.838291241293964
696507,BL300,2023-05-02 21:44:26-03:00,022,"(-25.448628, -49.304666)","[-25.448560639488026, -49.304670486941305]",0.7341389728096677,7.47580562176712
696508,BL300,2023-05-02 21:44:21-03:00,022,"(-25.449235, -49.304616)","[-25.449213013076534, -49.304629346455485]",0.7311178247734139,2.781123661046433
696509,BL300,2023-05-02 21:44:06-03:00,022,"(-25.451198, -49.304626)","[-25.451172031646074, -49.30461563297799]",0.7220543806646526,3.0599013018686523
696510,BL300,2023-05-02 21:44:01-03:00,022,"(-25.451726, -49.304656)","[-25.451722849744847, -49.30460176567207]",0.7190332326283988,5.465925517981648
696511,BL300,2023-05-02 21:43:51-03:00,022,"(-25.452471, -49.304338)","[-25.45243886056249, -49.30429079502352]",0.7059415911379657,5.9344356854180385
696512,BL300,2023-05-02 21:43:21-03:00,022,"(-25.452975, -49.30429)","[-25.45294050673571, -49.30425142665366]",0.7039274924471299,5.445400952811642
696513,BL300,2023-05-02 21:43:16-03:00,022,"(-25.453096, -49.304256)","[-25.45294050673571, -49.30425142665366]",0.7039274924471299,17.23163370600754
696514,BL300,2023-05-02 21:42:46-03:00,022,"(-25.456651, -49.303041)","[-25.456478458193963, -49.303059619717715]",0.6968781470292045,19.205649852124214
696515,BL300,2023-05-02 21:42:31-03:00,022,"(-25.458296, -49.30246)","[-25.458032527183477, -49.30250481983894]",0.6928499496475328,29.533477843266095
696516,BL300,2023-05-02 21:42:26-03:00,022,"(-25.458636, -49.302335)","[-25.45858879294458, -49.30232465891288]",0.6918429003021148,5.332000148761141
696517,BL300,2023-05-02 21:42:16-03:00,022,"(-25.458911, -49.302378)","[-25.458861734637974, -49.30240234150335]",0.6898288016112789,5.981514018274566
696518,BL300,2023-05-02 21:41:46-03:00,022,"(-25.459118, -49.30241)","[-25.459074622224986, -49.30238637471177]",0.6878147029204431,5.360711230168285
696519,BL300,2023-05-02 21:41:36-03:00,022,"(-25.459356, -49.302331)","[-25.459304046031903, -49.3022906754332]",0.6858006042296072,7.04076023421839
696520,BL300,2023-05-02 21:41:31-03:00,022,"(-25.459595, -49.302053)","[-25.459572334915517, -49.30198486536602]",0.6837865055387714,7.297914190051784
696521,BL300,2023-05-02 21:41:26-03:00,022,"(-25.459961, -49.301875)","[-25.460017030934896, -49.301795604928216]",0.6827794561933535,10.11364068979162
696522,BL300,2023-05-02 21:40:56-03:00,022,"(-25.460748, -49.297836)","[-25.460723183714947, -49.297788197535795]",0.67472306143001,5.538046578716019
696523,BL300,2023-05-02 21:40:46-03:00,022,"(-25.460858, -49.297098)","[-25.460821034042453, -49.29718978404412]",0.6737160120845922,10.098336957662562
696524,BL300,2023-05-02 21:40:36-03:00,022,"(-25.46097, -49.296451)","[-25.460936441806478, -49.2964968226845]",0.6727089627391742,5.920949693668718
696525,BL300,2023-05-02 21:40:26-03:00,022,"(-25.46109, -49.295836)","[-25.461046289520812, -49.29588857207278]",0.6717019133937563,7.1694860992025085
696526,BL300,2023-05-02 21:40:06-03:00,022,"(-25.461383, -49.294171)","[-25.461342234167212, -49.29411533865783]",0.6696878147029205,7.192391746318547
696527,BL300,2023-05-02 21:39:46-03:00,022,"(-25.461491, -49.293416)","[-25.461457904720767, -49.29346351626184]",0.6686807653575025,6.023092273899691
696528,BL300,2023-05-02 21:39:26-03:00,022,"(-25.461741, -49.291878)","[-25.461786772236803, -49.291630247238686]",0.6656596173212488,25.427097785502525
